"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"LBY","Libyan Arab Jamahiriya",4948796,5036173,5118008,5196774,5275921,5357893,5443249,5531097,5620545,5710163,5798615,5886874,5974786,6058740,6133987,6197667,6247438,6285751,6320350,6362039,6418315,6492160,6580723,6678565,6777453,6871287
"LIE","Liechtenstein",30884,31354,31830,32306,32765,33184,33543,33885,34172,34444,34718,34975,35217,35469,35723,35996,36299,36615,36940,37219,37465,37655,37805,37918,38020,38137
"LTU","Lithuania",3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885
"LUX","Luxembourg",408625,414225,419450,424700,430475,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,630419
"MKD","Macedonia",1983259,1989441,1996869,2007523,2017142,2026350,2034882,2020157,2026773,2032544,2036855,2040228,2043559,2046898,2050671,2055004,2058539,2061044,2064032,2067471,2070226,2072490,2074502,2076217,2076694,2072531
"MDG","Madagascar",13475403,13902697,14347860,14808791,15282524,15766806,16260933,16765122,17279139,17802992,18336722,18880265,19433520,19996476,20569115,21151640,21743970,22346641,22961259,23589897,24234080,24894370,25570511,26262313,26969306,27691019
"MWI","Malawi",9844418,10022783,10264906,10552345,10854325,11148751,11432001,11713663,12000183,12301837,12625950,12973693,13341808,13727899,14128161,14539609,14962118,15396010,15839287,16289550,16745305,17205253,17670193,18143215,18628749,19129955
"MYS","Malaysia",20487604,21017619,21562790,22114647,22661293,23194252,23709115,24208391,24698821,25190647,25690615,26201954,26720367,27236003,27735038,28208028,28650962,29068189,29468923,29866606,30270965,30684652,31104655,31528033,31949789,32365998
"MDV","Maldives",254144,259178,263836,268445,273522,279396,286309,294185,302681,311265,319604,327489,335172,343448,353391,365730,380493,397231,415592,435018,454914,475505,496398,515704,530957,540542
"MLI","Mali",9585660,9837575,10094363,10360564,10642937,10946448,11271603,11616890,11982692,12369078,12775509,13203378,13651455,14113578,14581427,15049352,15514593,15979492,16449854,16934213,17438772,17965448,18512429,19077755,19658023,20250834
